iteration,timestamp,tank_level,pump1_flow,pump2_flow,pump1_status,pump2_status,tank_inflow,total_demand,pressure_J39,pressure_J156,pressure_J280,attack_flag,missing
0,0,3.0,0.0955,0.0955,1,1,-0.0346,225.641,28.461,35.199,2.976,0,0
1,300,2.9865,0.0955,0.0956,1,1,-0.0345,225.641,28.448,35.192,2.976,0,0
2,600,2.9731,0.0956,0.0956,1,1,-0.0345,225.641,28.434,35.184,2.976,0,0
3,900,2.9596,0.0956,0.0956,1,1,-0.0345,225.641,28.421,35.177,2.976,0,0
4,1200,2.9462,0.0956,0.0956,1,1,-0.0344,225.641,28.408,35.169,2.976,0,0
5,1500,2.9327,0.0956,0.0956,1,1,-0.0344,225.641,28.395,35.161,2.976,0,0
6,1800,2.9193,0.0956,0.0956,1,1,-0.0344,225.641,28.382,35.154,2.976,0,0
7,2100,2.9059,0.0956,0.0956,1,1,-0.0344,225.641,28.368,35.146,2.976,0,0
8,2400,2.8925,0.0956,0.0957,1,1,-0.0343,225.641,28.355,35.138,2.976,0,0
9,2700,2.8791,0.0957,0.0957,1,1,-0.0343,225.641,28.342,35.131,2.976,0,0
10,3000,2.8657,0.0957,0.0957,1,1,-0.0343,225.641,28.329,35.123,2.976,0,0
11,3300,2.8524,0.0957,0.0957,1,1,-0.0342,225.641,28.316,35.115,2.976,0,0
12,3600,2.839,0.0952,0.0952,1,1,-0.0278,218.2246,28.353,35.369,2.976,0,0
13,3900,2.8282,0.0952,0.0952,1,1,-0.0278,218.2246,28.342,35.363,2.976,0,0
14,4200,2.8174,0.0952,0.0953,1,1,-0.0277,218.2246,28.332,35.357,2.976,0,0
15,4500,2.8066,0.0952,0.0953,1,1,-0.0277,218.2246,28.321,35.351,2.976,0,0
16,4800,2.7958,0.0953,0.0953,1,1,-0.0277,218.2246,28.31,35.345,2.976,0,0
17,5100,2.785,0.0953,0.0953,1,1,-0.0277,218.2246,28.3,35.338,2.976,0,0
18,5400,2.7742,0.0953,0.0953,1,1,-0.0276,218.2246,28.289,35.332,2.976,0,0
19,5700,2.7634,0.0953,0.0953,1,1,-0.0276,218.2246,28.278,35.326,2.976,0,0
20,6000,2.7526,0.0953,0.0953,1,1,-0.0276,218.2246,28.268,35.32,2.976,0,0
21,6300,2.7419,0.0953,0.0953,1,1,-0.0276,218.2246,28.257,35.314,2.976,0,0
22,6600,2.7311,0.0953,0.0953,1,1,-0.0275,218.2246,28.247,35.308,2.976,0,0
23,6900,2.7204,0.0953,0.0954,1,1,-0.0275,218.2246,28.236,35.301,2.976,0,0
24,7200,,0.0952,0.0952,1,1,,213.2448,28.258,35.4,2.976,1,1
25,7500,,0.0952,0.0952,1,1,,213.2448,28.247,35.394,2.976,1,1
26,7800,,0.0952,0.0952,1,1,,213.2448,28.238,35.389,2.976,1,1
27,8100,,0.0952,0.0952,1,1,,213.2448,28.229,35.383,2.976,1,1
28,8400,,0.0952,0.0952,1,1,,213.2448,28.22,35.378,2.976,1,1
29,8700,,0.0952,0.0952,1,1,,213.2448,28.211,35.373,2.976,1,1
30,9000,,0.0952,0.0952,1,1,,213.2448,28.203,35.368,2.976,1,1
31,9300,,0.0952,0.0952,1,1,,213.2448,28.194,35.363,2.976,1,1
32,9600,,0.0952,0.0953,1,1,,213.2448,28.185,35.358,2.976,1,1
33,9900,,0.0952,0.0953,1,1,,213.2448,28.176,35.353,2.976,1,1
34,10200,,0.0953,0.0953,1,1,,213.2448,28.167,35.348,2.976,1,1
35,10500,,0.0953,0.0953,1,1,,213.2448,28.159,35.343,2.976,1,1
36,10800,,0.0943,0.0943,1,1,,168.4653,28.282,35.853,2.976,1,1
37,11100,,0.0943,0.0943,1,1,,168.4653,28.289,35.857,2.976,1,1
38,11400,,0.0943,0.0943,1,1,,168.4653,28.297,35.862,2.976,1,1
39,11700,,0.0943,0.0943,1,1,,168.4653,28.305,35.866,2.976,1,1
40,12000,,0.0943,0.0943,1,1,,168.4653,28.313,35.871,2.976,1,1
41,12300,,0.0943,0.0943,1,1,,168.4653,28.32,35.875,2.976,1,1
42,12600,,0.0943,0.0943,1,1,,168.4653,28.328,35.88,2.976,1,1
43,12900,,0.0942,0.0943,1,1,,168.4653,28.336,35.884,2.976,1,1
44,13200,,0.0942,0.0943,1,1,,168.4653,28.344,35.889,2.976,1,1
45,13500,,0.0942,0.0942,1,1,,168.4653,28.351,35.893,2.976,1,1
46,13800,,0.0942,0.0942,1,1,,168.4653,28.359,35.898,2.976,1,1
47,14100,,0.0942,0.0942,1,1,,168.4653,28.367,35.902,2.976,1,1
48,14400,,0.0935,0.0935,1,1,,150.1264,28.497,36.265,2.977,1,1
49,14700,,0.0935,0.0935,1,1,,150.1264,28.511,36.273,2.977,1,1
50,15000,,0.0935,0.0935,1,1,,150.1264,28.525,36.281,2.977,1,1
51,15300,,0.0935,0.0935,1,1,,150.1264,28.539,36.289,2.977,1,1
52,15600,,0.0935,0.0935,1,1,,150.1264,28.553,36.298,2.977,1,1
53,15900,,0.0935,0.0935,1,1,,150.1264,28.568,36.306,2.977,1,1
54,16200,,0.0934,0.0935,1,1,,150.1264,28.582,36.314,2.977,1,1
55,16500,,0.0934,0.0934,1,1,,150.1264,28.596,36.322,2.977,1,1
56,16800,,0.0934,0.0934,1,1,,150.1264,28.61,36.33,2.977,1,1
57,17100,,0.0934,0.0934,1,1,,150.1264,28.624,36.338,2.977,1,1
58,17400,,0.0934,0.0934,1,1,,150.1264,28.638,36.346,2.977,1,1
59,17700,,0.0934,0.0934,1,1,,150.1264,28.652,36.354,2.977,1,1
60,18000,2.869,0.0934,0.0935,1,1,0.0458,141.0829,28.757,36.309,2.977,0,0
61,18300,2.8868,0.0934,0.0934,1,1,0.0458,141.0829,28.775,36.319,2.977,0,0
62,18600,2.9047,0.0934,0.0934,1,1,0.0458,141.0829,28.792,36.33,2.977,0,0
63,18900,2.9225,0.0934,0.0934,1,1,0.0457,141.0829,28.81,36.34,2.977,0,0
64,19200,2.9404,0.0934,0.0934,1,1,0.0457,141.0829,28.827,36.35,2.977,0,0
65,19500,2.9582,0.0934,0.0934,1,1,0.0456,141.0829,28.844,36.36,2.977,0,0
66,19800,2.976,0.0933,0.0934,1,1,0.0456,141.0829,28.862,36.37,2.977,0,0
67,20100,2.9937,0.0933,0.0933,1,1,0.0456,141.0829,28.879,36.38,2.977,0,0
68,20400,3.0115,0.0933,0.0933,1,1,0.0455,141.0829,28.897,36.39,2.977,0,0
69,20700,3.0293,0.0933,0.0933,1,1,0.0455,141.0829,28.914,36.4,2.977,0,0
70,21000,3.047,0.0933,0.0933,1,1,0.0455,141.0829,28.931,36.41,2.977,0,0
71,21300,3.0647,0.0932,0.0933,1,1,0.0454,141.0829,28.949,36.42,2.977,0,0
72,21600,3.0824,0.0938,0.0938,1,1,0.0246,162.8999,28.787,36.144,2.977,0,0
