iteration,timestamp,tank_level,pump1_flow,pump2_flow,pump1_status,pump2_status,tank_inflow,total_demand,pressure_J39,pressure_J156,pressure_J280,attack_flag,missing
0,0,3.0,0.0955,0.0955,1,1,-0.0346,225.641,28.461,35.199,2.976,0,0
1,300,2.9865,0.0955,0.0956,1,1,-0.0345,225.641,28.448,35.192,2.976,0,0
2,600,2.9731,0.0956,0.0956,1,1,-0.0345,225.641,28.434,35.184,2.976,0,0
3,900,2.9596,0.0956,0.0956,1,1,-0.0345,225.641,28.421,35.177,2.976,0,0
4,1200,2.9462,0.0956,0.0956,1,1,-0.0344,225.641,28.408,35.169,2.976,0,0
5,1500,2.9327,0.0956,0.0956,1,1,-0.0344,225.641,28.395,35.161,2.976,0,0
6,1800,2.9193,0.0956,0.0956,1,1,-0.0344,225.641,28.382,35.154,2.976,0,0
7,2100,2.9059,0.0956,0.0956,1,1,-0.0344,225.641,28.368,35.146,2.976,0,0
8,2400,2.8925,0.0956,0.0957,1,1,-0.0343,225.641,28.355,35.138,2.976,0,0
9,2700,2.8791,0.0957,0.0957,1,1,-0.0343,225.641,28.342,35.131,2.976,0,0
10,3000,2.8657,0.0957,0.0957,1,1,-0.0343,225.641,28.329,35.123,2.976,0,0
11,3300,2.8524,0.0957,0.0957,1,1,-0.0342,225.641,28.316,35.115,2.976,0,0
12,3600,2.839,0.0952,0.0952,1,1,-0.0278,218.2246,28.353,35.369,2.976,0,0
13,3900,2.8282,0.0952,0.0952,1,1,-0.0278,218.2246,28.342,35.363,2.976,0,0
14,4200,2.8174,0.0952,0.0953,1,1,-0.0277,218.2246,28.332,35.357,2.976,0,0
15,4500,2.8066,0.0952,0.0953,1,1,-0.0277,218.2246,28.321,35.351,2.976,0,0
16,4800,2.7958,0.0953,0.0953,1,1,-0.0277,218.2246,28.31,35.345,2.976,0,0
17,5100,2.785,0.0953,0.0953,1,1,-0.0277,218.2246,28.3,35.338,2.976,0,0
18,5400,2.7742,0.0953,0.0953,1,1,-0.0276,218.2246,28.289,35.332,2.976,0,0
19,5700,2.7634,0.0953,0.0953,1,1,-0.0276,218.2246,28.278,35.326,2.976,0,0
20,6000,2.7526,0.0953,0.0953,1,1,-0.0276,218.2246,28.268,35.32,2.976,0,0
21,6300,2.7419,0.0953,0.0953,1,1,-0.0276,218.2246,28.257,35.314,2.976,0,0
22,6600,2.7311,0.0953,0.0953,1,1,-0.0275,218.2246,28.247,35.308,2.976,0,0
23,6900,2.7204,0.0953,0.0954,1,1,-0.0275,218.2246,28.236,35.301,2.976,0,0
24,7200,2.7097,0.0952,0.0952,1,1,-0.0229,213.2448,28.258,35.4,2.976,0,0
25,7500,2.7007,0.0952,0.0952,1,1,-0.0229,213.2448,28.247,35.394,2.976,0,0
26,7800,2.6918,0.0952,0.0952,1,1,-0.0229,213.2448,28.238,35.389,2.976,0,0
27,8100,2.6829,0.0952,0.0952,1,1,-0.0229,213.2448,28.229,35.383,2.976,0,0
28,8400,2.674,0.0952,0.0952,1,1,-0.0228,213.2448,28.22,35.378,2.976,0,0
29,8700,2.6651,0.0952,0.0952,1,1,-0.0228,213.2448,28.211,35.373,2.976,0,0
30,9000,2.6562,0.0952,0.0952,1,1,-0.0228,213.2448,28.203,35.368,2.976,0,0
31,9300,2.6473,0.0952,0.0952,1,1,-0.0228,213.2448,28.194,35.363,2.976,0,0
32,9600,2.6384,0.0952,0.0953,1,1,-0.0228,213.2448,28.185,35.358,2.976,0,0
33,9900,2.6295,0.0952,0.0953,1,1,-0.0227,213.2448,28.176,35.353,2.976,0,0
34,10200,2.6207,0.0953,0.0953,1,1,-0.0227,213.2448,28.167,35.348,2.976,0,0
35,10500,2.6118,0.0953,0.0953,1,1,-0.0227,213.2448,28.159,35.343,2.976,0,0
36,10800,2.603,0.0943,0.0943,1,1,0.0202,168.4653,28.282,35.853,2.976,0,0
37,11100,2.6108,0.0943,0.0943,1,1,0.0201,168.4653,28.289,35.857,2.976,0,0
38,11400,2.6187,0.0943,0.0943,1,1,0.0201,168.4653,28.297,35.862,2.976,0,0
39,11700,2.6265,0.0943,0.0943,1,1,0.0201,168.4653,28.305,35.866,2.976,0,0
40,12000,2.6344,0.0943,0.0943,1,1,0.0201,168.4653,28.313,35.871,2.976,0,0
41,12300,2.6422,0.0943,0.0943,1,1,0.0201,168.4653,28.32,35.875,2.976,0,0
42,12600,2.65,0.0943,0.0943,1,1,0.0201,168.4653,28.328,35.88,2.976,0,0
43,12900,2.6578,0.0942,0.0943,1,1,0.02,168.4653,28.336,35.884,2.976,0,0
44,13200,2.6657,0.0942,0.0943,1,1,0.02,168.4653,28.344,35.889,2.976,0,0
45,13500,2.6735,0.0942,0.0942,1,1,0.02,168.4653,28.351,35.893,2.976,0,0
46,13800,2.6813,0.0942,0.0942,1,1,0.02,168.4653,28.359,35.898,2.976,0,0
47,14100,2.6891,0.0942,0.0942,1,1,0.02,168.4653,28.367,35.902,2.976,0,0
48,14400,2.6969,0.0935,0.0935,1,1,0.037,150.1264,28.497,36.265,2.977,0,0
49,14700,2.7113,0.0935,0.0935,1,1,0.0369,150.1264,28.511,36.273,2.977,0,0
50,15000,2.7257,0.0935,0.0935,1,1,0.0369,150.1264,28.525,36.281,2.977,0,0
51,15300,2.7401,0.0935,0.0935,1,1,0.0369,150.1264,28.539,36.289,2.977,0,0
52,15600,2.7544,0.0935,0.0935,1,1,0.0368,150.1264,28.553,36.298,2.977,0,0
53,15900,2.7688,0.0935,0.0935,1,1,0.0368,150.1264,28.568,36.306,2.977,0,0
54,16200,2.7831,0.0934,0.0935,1,1,0.0368,150.1264,28.582,36.314,2.977,0,0
55,16500,2.7975,0.0934,0.0934,1,1,0.0367,150.1264,28.596,36.322,2.977,0,0
56,16800,2.8118,0.0934,0.0934,1,1,0.0367,150.1264,28.61,36.33,2.977,0,0
57,17100,2.8261,0.0934,0.0934,1,1,0.0367,150.1264,28.624,36.338,2.977,0,0
58,17400,2.8404,0.0934,0.0934,1,1,0.0366,150.1264,28.638,36.346,2.977,0,0
59,17700,2.8547,0.0934,0.0934,1,1,0.0366,150.1264,28.652,36.354,2.977,0,0
60,18000,2.869,0.0934,0.0935,1,1,0.0458,141.0829,28.757,36.309,2.977,0,0
61,18300,2.8868,0.0934,0.0934,1,1,0.0458,141.0829,28.775,36.319,2.977,0,0
62,18600,2.9047,0.0934,0.0934,1,1,0.0458,141.0829,28.792,36.33,2.977,0,0
63,18900,2.9225,0.0934,0.0934,1,1,0.0457,141.0829,28.81,36.34,2.977,0,0
64,19200,2.9404,0.0934,0.0934,1,1,0.0457,141.0829,28.827,36.35,2.977,0,0
65,19500,2.9582,0.0934,0.0934,1,1,0.0456,141.0829,28.844,36.36,2.977,0,0
66,19800,2.976,0.0933,0.0934,1,1,0.0456,141.0829,28.862,36.37,2.977,0,0
67,20100,2.9937,0.0933,0.0933,1,1,0.0456,141.0829,28.879,36.38,2.977,0,0
68,20400,3.0115,0.0933,0.0933,1,1,0.0455,141.0829,28.897,36.39,2.977,0,0
69,20700,3.0293,0.0933,0.0933,1,1,0.0455,141.0829,28.914,36.4,2.977,0,0
70,21000,3.047,0.0933,0.0933,1,1,0.0455,141.0829,28.931,36.41,2.977,0,0
71,21300,3.0647,0.0932,0.0933,1,1,0.0454,141.0829,28.949,36.42,2.977,0,0
72,21600,3.0824,0.0938,0.0938,1,1,0.0246,162.8999,28.787,36.144,2.977,0,0
